FibreNumber,proportion_membrane_included,proportion_mito_mass_missed,proportion_membrane
46,34.552845528455286,35.434782608695656,14.52318460192476
47,19.08177905308465,25.748502994011975,11.015873015873016
48,40.08438818565401,25.663716814159294,17.527308838133067
49,33.661417322834644,30.37974683544304,14.734866259971843
50,27.402862985685072,39.869281045751634,13.427713427713428
51,25.646123260437374,46.07218683651805,12.8660585693711
52,39.141414141414145,40.055248618784525,18.61738535249829
53,52.965235173824134,32.24400871459695,17.702596380802518
54,15.892857142857142,23.106060606060606,7.15391762155466
55,26.08695652173913,44.03292181069959,22.195121951219512
56,24.166666666666668,25.609756097560975,13.881961762261014
57,33.65384615384615,70.6896551724138,26.991150442477874
58,31.060606060606062,72.72727272727273,22.912966252220247
59,21.813725490196077,27.659574468085108,14.285714285714285
60,26.590909090909093,37.99019607843137,15.396458814472672
61,32.6530612244898,40.07220216606498,15.167007498295842
62,41.806722689075634,27.467811158798284,18.453699601240583
63,36.386138613861384,26.344086021505376,16.78832116788321
64,37.101910828025474,63.59583952451708,18.117922686450605
65,46.846846846846844,33.737864077669904,21.446700507614214
66,51.736745886654475,66.34980988593155,26.926605504587155
67,33.739837398373986,39.34782608695652,13.595983005021244
68,37.77372262773723,34.30232558139535,14.793612533895754
69,45.887445887445885,29.550321199143468,16.830601092896174
70,33.088235294117645,25.79787234042553,13.447867298578197
71,35.5,31.793478260869566,16.304347826086957
72,33.2794830371567,31.292517006802722,14.240117849251167
73,25.718390804597703,27.56024096385542,9.528773978315263
74,28.09224318658281,32.511210762331835,12.395397489539748
75,36.40939597315436,47.340425531914896,16.19559072922555
76,38.63636363636363,26.277372262773724,24.390243902439025
77,20.422535211267608,53.2,18.961038961038962
78,25.245098039215684,20.212765957446805,13.318155947638019
79,45.72230014025245,48.48837209302326,20.7085346215781
80,19.482758620689655,29.014598540145986,10.061832490163013
81,39.29889298892989,61.5234375,25.11676180591593
82,36.73780487804878,42.12218649517685,16.58720200752823
83,25.88495575221239,28.095238095238095,12.098872506504769
84,25.877192982456144,29.314420803782504,11.327231121281464
85,36.36363636363637,43.13186813186813,18.637431480031324
86,26.706827309236946,18.4549356223176,10.384959713518354
